x,y
-13806,17277
-13895,17293
-13968,17293
-13993,17289
-14011,17283
-14030,17272
-14050,17255
-14068,17233
-14089,17197
-14111,17138
-14135,17004
-14135,16950
-14126,16897
-14119,16878
-14110,16862
-14101,16851
-14090,16842
-14078,16835
-14059,16828
-14016,16820
-13830,16820
-13785,16828
-13761,16837
-13743,16848
-13729,16859
-13718,16872
-13711,16884
-13706,16897
-13704,16909
-13704,16919
-13706,16933
-13710,16943
-13717,16955
-13725,16964
-13751,16986
-13777,17001
-13808,17012
-13893,17027
-13978,17027
-14008,17022
-14038,17011
-14065,16995
-14102,16964
-14131,16929
-14162,16876
-14195,16786
-14198,16769
-14198,16758
-14197,16752
-14195,16745
-14190,16737
-14185,16731
-14177,16724
-14165,16717
-14142,16709
-14099,16701
-13906,16701
-13863,16709
-13839,16718
-13822,16728
-13811,16737
-13801,16748
-13794,16760
-13790,16771
-13787,16788
-13787,16801
-13790,16815
-13795,16830
-13801,16840
-13814,16855
-13829,16868
-13849,16879
-13886,16893
-13970,16908
-14044,16908
-14084,16901
-14123,16887
-14170,16860
-14176,16855
-14180,16850
-14183,16846
-14185,16841
-14186,16833
-14186,16823
-14184,16813
-14182,16806
-14178,16799
-14175,16795
-14166,16787
-14154,16780
-14135,16773
-14096,16766
-14044,16766
-14012,16772
-13993,16779
-13977,16788
-13967,16797
-13958,16808
-13952,16819
-13948,16831
-13946,16843
-13946,16858
-13949,16873
-13955,16889
-13964,16905
-13976,16919
-13995,16935
-14036,16959
-14127,16992
-14203,17005
-14254,17005
-14266,17003
-14277,16999
-14282,16996
-14290,16989
-14293,16985
-14295,16981
-14297,16975
-14298,16970
-14298,16963
-14297,16957
-14294,16950
-14290,16944
-14284,16937
-14275,16929
-14262,16921
-14230,16910
-14170,16910
-14140,16915
-14120,16922
-14106,16930
-14095,16939
-14087,16948
-14080,16961
-14076,16972
-14074,16983
-14074,16997
-14077,17012
-14082,17025
-14090,17039
-14106,17058
-14128,17076
-14166,17098
-14262,17133
-14325,17144
-14339,17144
-14353,17141
-14363,17137
-14369,17134
-14374,17130
-14377,17126
-14379,17123
